analysis_key,question_text,target_question,item,company_size_class,answer,n,total,pct,denom_type
i40_einsatz,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,"Sensorik in Maschinen (Z.B. Strom - oder Druckluftverbrauch, ...)",GU,Im Einsatz,35,45,77.77777777777779,total
i40_einsatz,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,"Sensorik in Maschinen (Z.B. Strom - oder Druckluftverbrauch, ...)",GU,In Planung,5,45,11.11111111111111,total
i40_einsatz,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,Standards zum Datenaustausch (z.B. OPC UA),KMU,Im Einsatz,11,23,47.82608695652174,total
i40_einsatz,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,Standards zum Datenaustausch (z.B. OPC UA),KMU,In Planung,3,23,13.043478260869565,total
i40_einsatz,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,Standards zum Datenaustausch (z.B. OPC UA),GU,Im Einsatz,27,45,60.0,total
i40_einsatz,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,Standards zum Datenaustausch (z.B. OPC UA),GU,In Planung,5,45,11.11111111111111,total
i40_einsatz,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,"Datenplattformen, Ökosysteme und Dateninfrastrukturen (z. B. Digitaler Produktpass)",KMU,Im Einsatz,5,23,21.73913043478261,total
i40_einsatz,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,"Datenplattformen, Ökosysteme und Dateninfrastrukturen (z. B. Digitaler Produktpass)",KMU,In Planung,9,23,39.130434782608695,total
i40_einsatz,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,"Datenplattformen, Ökosysteme und Dateninfrastrukturen (z. B. Digitaler Produktpass)",GU,Im Einsatz,20,45,44.44444444444444,total
i40_einsatz,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,"Datenplattformen, Ökosysteme und Dateninfrastrukturen (z. B. Digitaler Produktpass)",GU,In Planung,11,45,24.444444444444443,total
i40_einsatz,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,"Künstliche Intelligenz und Datenanalyse (z.B. Zustandsüberwachung, datengetriebene Entscheidungsfindung, ...)",KMU,Im Einsatz,6,23,26.08695652173913,total
i40_einsatz,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,"Künstliche Intelligenz und Datenanalyse (z.B. Zustandsüberwachung, datengetriebene Entscheidungsfindung, ...)",KMU,In Planung,9,23,39.130434782608695,total
i40_einsatz,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,"Künstliche Intelligenz und Datenanalyse (z.B. Zustandsüberwachung, datengetriebene Entscheidungsfindung, ...)",GU,Im Einsatz,13,45,28.888888888888886,total
i40_einsatz,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,"Künstliche Intelligenz und Datenanalyse (z.B. Zustandsüberwachung, datengetriebene Entscheidungsfindung, ...)",GU,In Planung,20,45,44.44444444444444,total
i40_einsatz,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,Simulationen (z.B. Materialflusssimulation mit Plant Simulation oder visTABLE),KMU,Im Einsatz,6,23,26.08695652173913,total
i40_einsatz,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,Simulationen (z.B. Materialflusssimulation mit Plant Simulation oder visTABLE),KMU,In Planung,1,23,4.3478260869565215,total
i40_einsatz,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,Simulationen (z.B. Materialflusssimulation mit Plant Simulation oder visTABLE),GU,Im Einsatz,16,45,35.55555555555556,total
i40_einsatz,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,Simulationen (z.B. Materialflusssimulation mit Plant Simulation oder visTABLE),GU,In Planung,12,45,26.666666666666668,total
i40_einsatz,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,"Verwaltungsschale (Asset Administration Shell, AAS)",KMU,Im Einsatz,2,23,8.695652173913043,total
i40_einsatz,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,"Verwaltungsschale (Asset Administration Shell, AAS)",KMU,In Planung,5,23,21.73913043478261,total
i40_einsatz,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,"Verwaltungsschale (Asset Administration Shell, AAS)",GU,Im Einsatz,7,45,15.555555555555555,total
i40_einsatz,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,"Verwaltungsschale (Asset Administration Shell, AAS)",GU,In Planung,11,45,24.444444444444443,total
i40_einsatz,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,"(Autonome) Robotik(z. B. Fahrerlose Transportsysteme, Industrieroboter)",KMU,Im Einsatz,3,23,13.043478260869565,total
i40_einsatz,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,"(Autonome) Robotik(z. B. Fahrerlose Transportsysteme, Industrieroboter)",KMU,In Planung,5,23,21.73913043478261,total
i40_einsatz,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,"(Autonome) Robotik(z. B. Fahrerlose Transportsysteme, Industrieroboter)",GU,Im Einsatz,22,45,48.888888888888886,total
i40_einsatz,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,"(Autonome) Robotik(z. B. Fahrerlose Transportsysteme, Industrieroboter)",GU,In Planung,6,45,13.333333333333334,total
i40_einsatz,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,Weitere Technologie,KMU,Im Einsatz,1,23,4.3478260869565215,total
i40_einsatz,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,Weitere Technologie,KMU,In Planung,2,23,8.695652173913043,total
i40_einsatz,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,Weitere Technologie,GU,Im Einsatz,3,45,6.666666666666667,total
i40_einsatz,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,Welche der nachfolgenden Industrie 4.0 - Technologien werden derzeit in Ihrem Unternehmen eingesetzt und welche sind zukünftig in Planung?,Weitere Technologie,GU,In Planung,4,45,8.88888888888889,total
